Change Component Description : Designator=U300 Old Description=ARM? Cortex?-M4 STM32 F3 Microcontroller IC 32-Bit 72MHz 64KB (64K x 8) FLASH 32-LQFP (7x7) New Description=ARM? Cortex?-M4 STM32 F3 Microcontroller IC 32-Bit 72MHz 64KB (64K x 8) FLASH 32-LQFP (7x7)
Change component parameters: Designator = "X300" ("X300"); Footprint = "NX3215SA-32.768K-STD-MUA-8"; UniqueID = "\JTNNNRYD" ("\JTNNNRYD")
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "STM32F303K8T6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of I/O"; Value = "10"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40°„C ~ 85°„C (TA)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Oscillator Type"; Value = "Internal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "32-LQFP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tray"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peripherals"; Value = "DMA, I2S, POR, PWM, WDT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=4.28, 10=3.846, 100=3.1512, 500=2.6826, 1000=2.2624 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Program Memory Size"; Value = "64KB (64K x 8)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Program Memory Type"; Value = "FLASH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RAM Size"; Value = "12K x 8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "STM32 F3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Speed"; Value = "72MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "848"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "32-LQFP (7x7)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "497-15828-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Supply (Vcc/Vdd)"; Value = "2 V ~ 3.6 V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=BUTTON Pin=R302-1
Added Pin To Net: NetName=BUTTON Pin=U302-3
